epoch,train_loss,train_acc,val_loss,val_acc
1,1.082894,0.661626,1.216668,0.727273
2,0.876081,0.567108,1.065103,0.772727
3,0.809024,0.652174,0.907135,0.803030
4,0.710275,0.724008,0.843165,0.810606
5,0.685449,0.744802,0.779849,0.825758
6,0.635469,0.833648,0.751721,0.848485
7,0.601106,0.839319,0.720247,0.856061
8,0.553708,0.843100,0.712691,0.840909
9,0.553561,0.837429,0.641602,0.818182
10,0.491003,0.850662,0.618125,0.871212
11,0.446650,0.897921,0.621711,0.833333
12,0.435672,0.862004,0.602027,0.833333
13,0.407115,0.875236,0.605208,0.878788
14,0.402744,0.882798,0.569526,0.856061
15,0.376674,0.903592,0.604546,0.818182
16,0.356224,0.882798,0.563280,0.856061
17,0.337821,0.903592,0.531985,0.856061
18,0.279515,0.909263,0.523682,0.863636
19,0.329982,0.877127,0.567672,0.787879
20,0.301945,0.879017,0.526770,0.871212
